Temperature,Concentration,Diffusion Coefficient,R^2,stderr
344.8868868868869,66,7.888158579508479e-14,0.10767641992978795,8.488472529202567e-07
355.2972972972973,66,2.4396875640625118e-11,0.9976954943782825,6.629004308065776e-06
280.9229229229229,66,5.2939753964643154e-11,0.9983983709292429,1.0720489578589773e-05
356.5985985985986,66,4.2281707843652756e-11,0.9667278675330423,3.343197693902364e-05
304.1461461461461,66,6.411761909889191e-11,0.9935504021637905,2.2422931338535078e-05
279.9219219219219,66,3.369842597773992e-11,0.9992245196188229,4.633475824801854e-06
285.2272272272272,66,2.4777027907413022e-11,0.9761385838236276,1.950306125882484e-05
267.9099099099099,66,1.1179017684799979e-10,0.999131507826006,1.4454291184187833e-05
323.0650650650651,66,2.8491892473851855e-11,0.99008200545611,1.2456211167249728e-05
316.25825825825825,66,2.359223808786368e-11,0.9696456266520689,2.1489517112894938e-05
275.9179179179179,66,1.1519084350510034e-11,0.9892675117732485,4.5003301446354424e-06
289.03103103103103,66,7.796770604687517e-11,0.999096644030444,1.3437734876861971e-05
341.4834834834835,66,6.42542533662533e-11,0.9875822931634087,4.214221909151051e-05
305.84784784784785,66,6.879420327363113e-11,0.9405247959685318,8.779371427488919e-05
290.13213213213214,66,8.539194215990196e-11,0.9984375794104889,1.8224554498834697e-05
272.4144144144144,66,2.7085659970829485e-11,0.8935102996704049,3.37078686077298e-05
343.98598598598596,66,8.77674960541333e-12,0.9696370998986762,5.821527909187562e-06
263.9059059059059,66,8.884486201984633e-11,0.9974858645768542,2.1918702099130603e-05
303.24524524524526,66,9.66698106876005e-11,0.9965365756457089,2.4554203532866832e-05
258.1001001001001,66,3.3981066319171035e-11,0.9910287653685854,1.4419690492708795e-05
319.16116116116115,66,7.056348820002528e-11,0.9989586503091101,1.148219553649363e-05
269.1111111111111,66,7.461503556826902e-12,0.9447338368376698,8.546226920790434e-06
265.007007007007,66,1.952568899006274e-11,0.9886725928891029,1.0702691068316176e-05
264.3063063063063,66,5.2078791370114723e-11,0.9993677101522467,7.825373189321926e-06
318.66066066066065,66,9.098646977483185e-11,0.9986329752275485,1.9741559151178913e-05
330.7727727727728,66,5.599954936207088e-11,0.9964825082138701,1.6869683873818195e-05
347.68968968968966,66,2.2484648839497728e-13,0.3228160324913263,1.8258013137197145e-06
346.38838838838836,66,6.934881522142002e-12,0.9497419674029342,5.922140386558459e-06
309.25125125125123,66,3.852353353627021e-11,0.9908577841222076,1.963342760918936e-05
344.48648648648646,66,1.8409206658499145e-11,0.9496748189003192,2.14109423632258e-05
284.82682682682685,66,1.918600515209369e-11,0.9951344565358257,6.778051283830443e-06
357.5995995995996,66,1.5240765145848607e-10,0.9993334418573724,1.7557656095892935e-05
348.0900900900901,66,9.718939358669196e-11,0.9972185528053412,2.4280595209146877e-05
343.8858858858859,66,6.022305157762693e-11,0.9819331303230141,3.8696502664915805e-05
327.0690690690691,66,4.3957855665971575e-11,0.9923540717062749,2.0961638016486687e-05
334.87687687687685,66,7.511368336374999e-11,0.9982066146913938,1.5229691995398345e-05
266.8088088088088,66,1.6097481850779498e-11,0.9956492861716382,5.027429658310919e-06
286.8288288288288,66,1.797212844841408e-11,0.9645683834017484,1.639627226684421e-05
301.2432432432432,66,3.9496663741566016e-11,0.9965621571192989,1.2715097646452453e-05
323.96596596596595,66,2.0226482178332695e-11,0.9378471417015902,2.1197089269205845e-05
349.991991991992,66,4.130115304636558e-11,0.993179871926095,1.590813032086585e-05
339.68168168168165,66,2.5315550065434002e-11,0.9164921363428158,2.6679897162236862e-05
326.36836836836835,66,1.581660320401707e-11,0.9928411417041362,5.787352889085385e-06
314.45645645645646,66,5.50928500450043e-12,0.7253213503331257,1.3956797801372725e-05
313.05505505505505,66,5.6484247605476166e-11,0.9879739197103531,4.53166851472594e-05
316.958958958959,66,1.0351966259207287e-11,0.6174984514038171,3.180572031997468e-05
338.8808808808809,66,6.179480877157841e-11,0.8711922785201701,0.00010384475035933691
327.76976976976977,66,9.528344222836354e-14,0.0006491148444977785,1.0567125573151042e-05
358.0,66,5.6607434412925154e-11,0.999903764202513,2.7064062903969613e-06
299.14114114114113,66,1.4350588366283245e-11,0.9657519513995287,1.0508594138692133e-05
353.7957957957958,66,3.716736037136191e-12,0.34806751933351093,3.06226176405706e-05
337.4794794794795,66,2.3902725699471702e-11,0.9827247675799913,1.516687245196767e-05
320.6626626626627,66,4.084921647088977e-11,0.9981858480603577,8.7814281389261e-06
258.7007007007007,66,4.054105584125976e-11,0.9969744106465405,1.1563881302354874e-05
286.92892892892894,66,1.0137348680354339e-11,0.990601111499899,4.20750870481299e-06
265.2072072072072,66,1.2407577081723169e-11,0.9606420412810757,1.0289169465201984e-05
349.5915915915916,66,1.1769450254926102e-10,0.9901900190811919,5.7212964463295313e-05
318.7607607607608,66,3.16740147765538e-11,0.9990092227073735,4.620484778058197e-06
319.46146146146145,66,1.3980185685646832e-11,0.9850750502440342,8.400061800011807e-06
315.75775775775776,66,3.177834985335613e-11,0.9994852208588857,5.295191453235377e-06
276.9189189189189,66,5.2488435572502765e-11,0.9975075445356325,1.3401777943635042e-05
291.23323323323325,66,3.9745108750898706e-11,0.9663735025260801,3.621491018960258e-05
335.97797797797796,66,4.196659615826854e-11,0.9936168804044013,1.56674944583909e-05
329.7717717717718,66,1.953315108660671e-11,0.9802183986269773,1.0495705804649338e-05
261.9039039039039,66,8.215961906052754e-12,0.9150015982582109,1.13162517327733e-05
352.7947947947948,66,3.7021957376352355e-10,0.9991504416658206,5.463956884564952e-05
339.18118118118116,66,4.1438533629501094e-11,0.9657391913160637,3.796794338819083e-05
295.8378378378378,66,2.6113357580405536e-11,0.9718381471673072,1.6454806304274367e-05
297.13913913913916,66,4.3889082307572076e-11,0.9735578738479338,3.524378008560083e-05
262.7047047047047,66,7.847058481025305e-11,0.9676156184791794,6.858313870747436e-05
273.2152152152152,66,8.366063675453197e-12,0.9895012087192239,4.817762262215565e-06
279.6216216216216,66,1.223456922538905e-11,0.9256392427966357,1.7648784567465636e-05
321.36336336336336,66,5.707477990786105e-11,0.9858220624590149,3.0118131413444273e-05
276.81881881881884,66,1.4208480054407648e-11,0.9850033481812307,7.419946130323035e-06
311.15315315315314,66,2.4544480330321118e-11,0.9940704508220465,9.191305597281507e-06
337.7797797797798,66,7.108370126977119e-11,0.99802524652175,1.9786926171875104e-05
268.3103103103103,66,3.5170873932601376e-11,0.9849681243556501,2.2426113767936906e-05
308.45045045045043,66,2.131716363613288e-11,0.9912208785341085,8.59396563225948e-06
271.4134134134134,66,3.9149583828748314e-11,0.9995317762633481,4.345470564456778e-06
259.8018018018018,66,1.9689971715101534e-11,0.9935664583300597,8.150900503833862e-06
307.049049049049,66,1.0997548442387945e-10,0.9991321632824424,2.096668223428785e-05
